Date,^SSMI,ABBN.SW,NESN.SW,NOVN.SW,CFR.SW,ROG.SW,SREN.SW,SCMN.SW,UBSG.SW,ZURN.SW
1/5/2000,-0.012,0.0162,-0.0072,-0.0134,0.0117,-0.0252,-0.0194,-0.0473,0,-0.0172
1/6/2000,0.0137,0.0212,0.0409,0.0183,-0.0183,0.0101,-0.0016,-0.0118,0.0049,-0.0186
1/7/2000,0.0227,0.0104,0.0195,0.0248,-0.0027,0.0551,0.0255,-0.0051,0.0096,0.0059
1/10/2000,0.0006,-0.0157,-0.0102,-0.0039,0.0074,0.0121,-0.0077,0.0202,0.0024,0.0047
1/11/2000,-0.0044,0.017,0.0024,-0.0143,-0.0095,-0.0095,-0.0201,-0.027,0.0178,-0.0141
1/12/2000,0.0027,0.0039,0.0213,0.0026,-0.0193,0,-0.0036,0.0119,-0.0035,-0.0083
1/13/2000,-0.0004,-0.0026,0.004,0.0035,0.0319,0,-0.0123,0.0034,0.0012,-0.0192
1/14/2000,0.0103,-0.0026,0.0053,0.0194,0.0289,0.0053,-0.0053,0.0117,0.0221,0.024
1/17/2000,-0.0009,0.0103,-0.0086,0.0038,0.0418,0.0032,-0.0152,0.0439,-0.0093,-0.0313
1/18/2000,-0.0137,0.0051,-0.0141,-0.0206,0.0145,-0.0358,-0.0272,0.0406,-0.0176,-0.0024
1/19/2000,-0.0092,-0.0193,-0.0065,-0.0083,0.0167,0.0033,-0.0018,-0.0232,-0.0203,0
1/20/2000,-0.0117,0.0155,-0.0123,-0.0097,-0.0095,-0.0093,-0.007,-0.0286,-0.0195,-0.0161
1/21/2000,-0.0021,-0.0181,-0.001,-0.0134,0.0026,0.0171,-0.0106,0,-0.0025,-0.0088
1/24/2000,-0.0151,-0.0092,-0.0227,-0.0181,-0.1136,-0.0133,0.0018,-0.0179,-0.0301,-0.0114
1/25/2000,-0.0246,-0.0403,-0.0309,-0.0297,0.0892,-0.0237,-0.0007,-0.0384,-0.0297,-0.0089
1/26/2000,0.0013,-0.0083,-0.0088,-0.008,-0.0123,0.0083,0.0007,0.0384,0.0208,-0.0129
1/27/2000,0.0213,0.0406,0.0243,0.0113,-0.0099,0.0154,0.035,0.0082,0.0266,0.0142
1/28/2000,-0.0119,-0.012,-0.0207,-0.0147,-0.008,-0.0248,0.0038,-0.0049,-0.0164,0.0051
1/31/2000,-0.0194,-0.0203,-0.0088,-0.0353,-0.0071,-0.0056,-0.0316,-0.0434,-0.0218,-0.0232
2/1/2000,0.0188,-0.0027,0.007,0.0296,0.0732,0.044,0.0035,-0.0155,0.0282,0.0039
2/2/2000,0.0102,0.0096,0.0055,0.0038,-0.0118,0.0022,0.0063,-0.0175,0.0588,0.0052
2/3/2000,0.012,0.0696,0.0073,0.0085,0.0107,0.0056,0.0146,0.0018,-0.0048,0.0368
2/4/2000,-0.0048,0.1013,-0.0231,-0.0249,0.0035,0.0011,-0.0174,0.0346,-0.0169,-0.0355
2/7/2000,-0.0024,-0.059,-0.0119,0.0116,0.0403,0.0053,-0.0106,0.0384,-0.0024,0.0115
2/8/2000,-0.0001,-0.0024,0.0049,-0.0067,0.0179,0.0055,0.0004,-0.0049,-0.0073,-0.0167
2/9/2000,-0.014,-0.0474,-0.0238,-0.0068,-0.0723,-0.0063,-0.0075,-0.0386,-0.0037,-0.0276
2/10/2000,-0.0048,-0.0207,0.0088,-0.0049,0.0003,-0.016,-0.0054,0,0.0061,0.0066
2/11/2000,-0.0035,0.013,-0.0084,0,-0.0003,-0.0013,-0.0291,-0.012,0,-0.0268
2/14/2000,-0.0074,0.0166,-0.0158,-0.0054,-0.0125,-0.0095,-0.0183,0.0222,-0.0049,-0.0068
2/15/2000,-0.0168,-0.0388,-0.0129,-0.0193,-0.0143,-0.0129,-0.0175,-0.0188,-0.0037,-0.0166
2/16/2000,0.0185,0.0131,0.0416,0.0296,-0.0208,0.0047,0.0171,-0.0087,0.0062,0.0028
2/17/2000,0.0138,-0.0013,0.0079,0.0428,0.0234,0,0.0315,-0.0264,0.0146,0.0124
2/18/2000,0.0025,-0.0078,0.0222,0.0014,0.0024,0,0,-0.018,0.0096,0.0082
2/21/2000,-0.012,-0.0185,-0.0185,-0.0061,-0.0309,-0.0166,-0.0092,-0.0221,-0.0084,-0.0178
2/22/2000,0.0107,-0.0054,0.0298,0.0032,-0.0423,0.0155,0.0004,0.0111,0.0203,-0.0111
2/23/2000,0.0077,0.0239,0.0069,0.0065,-0.0079,0.0158,-0.0171,0.0091,0.0059,-0.0056
2/24/2000,-0.0068,0,-0.0054,-0.0046,0.0105,-0.0178,0.0011,-0.0073,-0.0083,-0.0028
2/25/2000,-0.0078,-0.0374,0.0147,-0.0075,0.0039,-0.0105,0.0026,0.0218,-0.0228,-0.0099
2/28/2000,-0.0103,-0.0193,-0.0018,-0.0066,-0.0052,0.0011,-0.0019,-0.0218,-0.0147,-0.0057
2/29/2000,-0.0011,-0.014,0.0039,0.0014,0.0065,0.0003,0.0026,-0.0018,0,0.0142
3/1/2000,0.0071,0.0126,0.0127,-0.0033,0.0193,0.0039,0.0085,0.0073,0.0049,0.0126
3/2/2000,0.0133,0.0083,0.0039,0.0043,0.0326,0.0246,0.0143,0.1267,-0.0037,0.0194
3/3/2000,-0.0039,-0.0223,-0.0095,-0.0066,-0.0112,0.0065,-0.0143,0.1066,-0.0136,-0.0069
3/6/2000,0.0088,0.0196,0.006,-0.0009,0,0.0202,-0.0019,0.0271,0.0161,-0.0167
3/7/2000,-0.0053,0.0055,-0.0188,-0.009,-0.0065,-0.0053,-0.0172,-0.0228,0.0061,0.0014
3/8/2000,-0.015,-0.0194,-0.036,-0.0291,-0.0306,0.0097,-0.0206,-0.0174,0.0037,-0.0184
3/9/2000,-0.0063,0.0139,-0.0022,-0.0064,-0.0094,-0.0084,-0.0035,0.0331,-0.0246,-0.0202
3/10/2000,0.0009,-0.0042,-0.0195,0.0157,-0.006,-0.0037,0.0015,0.0403,-0.0012,-0.0102
3/13/2000,-0.0185,-0.0353,-0.0126,-0.0247,-0.0294,-0.019,-0.0108,-0.0488,-0.0025,-0.0074
3/14/2000,0.0083,-0.0072,0.005,0.0124,-0.0068,0,0.0089,-0.0029,0.01,0.0162
3/15/2000,0.0026,-0.0029,0.0422,0.0044,-0.0165,-0.0054,-0.0089,-0.0409,0.0049,0
3/16/2000,0.0394,0.0427,0.0593,0.0296,0.0433,0.0151,0.0837,0.006,0.0159,0.109
